Rk.,Name,Rtg,FED,1.Rd,2.Rd,3.Rd,4.Rd,5.Rd,6.Rd,7.Rd,8.Rd,9.Rd,Pts.,TB1,TB2,TB3,Rp
1,Jakovenko Dmitry ,2721,RUS,  2w½,  6b½, 16w½, 12b1,  7w½, 15b½,  9w½,  4b½, 11b1,5.5,0.5,2,2748,2823
2,Aronian Levon ,2801,ARM,  1b½, 10w1, 11b½, 15w1,  8b½,  7w½,  4b½,  5w½,  6b½,5.5,0.5,2,2742,2821
3,Radjabov Teimour ,2741,AZE, 16w½, 14b1, 15w½,  6b0,  9w½,  5b0, 13w1, 17b1,  4w½,5,0,3,2723,2764
4,Rapport Richard ,2692,HUN, 15b0, 17b½, 13w½, 18w1,  5b½, 16b1,  2w½,  1w½,  3b½,5,0,2,2720,2762
5,Tomashevsky Evgeny ,2702,RUS,  7w½,  9b½,  6w½, 16b½,  4w½,  3w1, 11b½,  2b½,  8w½,5,0,1,2755,2791
6,Nakamura Hikaru ,2780,USA, 12b½,  1w½,  5b½,  3w1, 11b½,  8w½,  7b½,  9w½,  2w½,5,0,1,2749,2792
7,Svidler Peter ,2763,RUS,  5b½, 12w½, 18b1, 11w½,  1b½,  2b½,  6w½,  8w½,  9b½,5,0,1,2745,2782
8,Ding Liren ,2774,CHN, 14w½, 16b½, 12w½, 10b1,  2w½,  6b½, 15w½,  7b½,  5b½,5,0,1,2729,2771
9,Harikrishna P. ,2738,IND, 18b½,  5w½, 10b½, 14w1,  3b½, 11w½,  1b½,  6b½,  7w½,5,0,1,2728,2767
10,Inarkiev Ernesto ,2683,RUS, 13w1,  2b0,  9w½,  8w0, 12b½, 17b1, 14w½, 11w½, 18b½,4.5,0,2,2740,2734
11,Vachier-Lagrave Maxime ,2796,FRA, 17w1, 15b½,  2w½,  7b½,  6w½,  9b½,  5w½, 10b½,  1w0,4.5,0,1,2741,2741
12,Eljanov Pavel ,2707,UKR,  6w½,  7b½,  8b½,  1w0, 10w½, 13b½, 18w1, 14b½, 17w½,4.5,0,1,2729,2724
13,Li Chao B ,2741,CHN, 10b0, 18w½,  4b½, 17w½, 14b½, 12w½,  3b0, 15w1, 16b½,4,1.5,1,2700,2656
14,Vallejo Pons Francisco ,2705,ESP,  8b½,  3w0, 17w1,  9b0, 13w½, 18b½, 10b½, 12w½, 15b½,4,1,1,2727,2679
15,Giri Anish ,2762,NED,  4w1, 11w½,  3b½,  2b0, 16w½,  1w½,  8b½, 13b0, 14w½,4,0.5,1,2739,2693
16,Riazantsev Alexander ,2651,RUS,  3b½,  8w½,  1b½,  5w½, 15b½,  4w0, 17w0, 18b½, 13w½,3.5,0,0,2725,2640
17,Gelfand Boris ,2719,ISR, 11b0,  4w½, 14b0, 13b½, 18w½, 10w0, 16b1,  3w0, 12b½,3,0.5,1,2703,2580
18,Hammer Jon Ludvig ,2629,NOR,  9w½, 13b½,  7w0,  4b0, 17b½, 14w½, 12b0, 16w½, 10w½,3,0.5,0,2712,2586
